day,time,address,district,accident_type,age,gender,suspect_vehicle,lat,long,Cluster
Sunday,Morning,veteran utara,makassar,TM,adolescent,PR,R2,-5.1407973,119.4239945,1
Tuesday,Evening,amirullah,mamajang,TM,adult,LK,R2,-5.1532555,119.4200067,1
Thursday,Afternoon,baji minasa,mariso,TK,adult,LK,R2,-5.1657427,119.4097701,7
Friday,Afternoon,keindahan,tamalanrea,TK,adolescent,PR,R2,-5.1358981,119.5186684,0
Monday,Morning,veteran selatan,mamajang,TL,NOV,NOV,R2,-5.1671547,119.419923,4
Monday,Afternoon,tamalate,rappocini,TL,NOV,NOV,R4,-5.1675882,119.4479146,2
Monday,Afternoon,ujung bori,manggala,TK,adolescent,LK,R2,-5.1644865,119.474764,11
Wednesday,Night,maccini raya,makassar,TL,NOV,NOV,R4,-5.1380386,119.4340109,2
Wednesday,Afternoon,kima raya,biringkanaya,TK,adolescent,LK,R4,-5.1054746,119.4976501,7
Tuesday,Afternoon,dirgantara,panakukang,TK,adult,LK,R4,-5.1464776,119.4580041,3
Wednesday,Evening,veteran selatan,mamajang,TK,adult,LK,R2,-5.1671547,119.419923,7
Friday,Afternoon,teuku umar,tallo,TK,adult,LK,R2,-5.1139854,119.4352107,7
Saturday,Night,perintis kemerdekaan,biringkanaya,TL,NOV,NOV,R2,-5.0934582,119.5134093,10
Monday,Evening,perintis kemerdekaan,biringkanaya,TL,NOV,NOV,R4,-5.0934582,119.5134093,2
Wednesday,Evening,batara bira,biringkanaya,TL,NOV,NOV,R2,-5.0884975,119.5063692,10
Wednesday,Morning,bontoduri,tamalate,TM,adult,LK,R4,-5.1770047,119.4241513,3
Tuesday,Afternoon,inspeksi pam,manggala,TK,adult,LK,R6,-5.1501163,119.4756964,3
Thursday,Night,gunung salahutu,makassar,TK,adult,LK,R2,-5.1412436,119.4218896,7
Wednesday,Morning,perintis kemerdekaan,tamalanrea,TK,adult,LK,R4,-5.1257155,119.5040112,3
Saturday,Morning,maccini baru,makassar,TK,adult,PR,R2,-5.1378158,119.4279274,8
Tuesday,Morning,perintis kemerdekaan,biringkanaya,TK,adult,LK,R2,-5.0934582,119.5134093,8
Friday,Morning,perintis kemerdekaan,biringkanaya,TK,adult,LK,R2,-5.0934582,119.5134093,8
Sunday,Morning,baji gau,tamalate,TK,adolescent,PR,R2,-5.2862714,119.379584,1
Sunday,Morning,mallombassang,tamalate,TK,adult,LK,R2,-5.1754863,119.4156656,8
Monday,Morning,gunung bawakaraeng,bontoala,TK,adult,LK,R2,-5.1354412,119.4177503,8
Wednesday,Morning,ratulangi,mamajang,TK,adult,LK,R2,-5.1520498,119.4160523,8
Tuesday,Afternoon,perintis kemerdekaan,biringkanaya,TK,adolescent,LK,R2,-5.0934582,119.5134093,11
Tuesday,Evening,mutiara boulevard,biringkanaya,TL,NOV,NOV,R4,-5.0781376,119.5039558,2
Wednesday,Morning,metro tanjung bunga,tamalate,TK,child,LK,R2,-5.1661576,119.3917443,1
Wednesday,Night,cendrawasih,mariso,TK,adult,LK,R2,-5.1552795,119.4122605,7
Tuesday,Morning,mappanyukki,mariso,TK,adult,LK,R4,-5.156363,119.4149266,3
Wednesday,Morning,sultan alauddin,tamalate,TM,adolescent,LK,R2,-5.1740774,119.4312419,1
Wednesday,Morning,perintis kemerdekaan,biringkanaya,TM,adolescent,PR,R2,-5.0934582,119.5134093,1
Friday,Night,tamalanrea raya,tamalanrea,TK,adolescent,LK,R2,-5.1389844,119.5193272,11
Saturday,Night,yusuf dg ngawing,rappocini,TK,adult,LK,R4,-5.1659631,119.4372775,3
Sunday,Night,gunung latimojong,makassar,TK,adult,PR,R4,-5.1405404,119.4208275,3
Sunday,Morning,perintis kemerdekaan,biringkanaya,TK,adult,LK,R2,-5.0934582,119.5134093,8
Monday,Night,veteran utara,bontoala,TK,adult,PR,R2,-5.1407973,119.4239945,7
Monday,Night,manggala raya,manggala,TK,adolescent,LK,R2,-5.1700208,119.4981435,11
Wednesday,Afternoon,aroepala,rappocini,TK,adult,LK,R6,-5.176439,119.4573487,3
Wednesday,Morning,perintis kemerdekaan,tamalanrea,TK,adult,LK,R2,-5.1257155,119.5040112,8
Sunday,Morning,gunung bawakaraeng,ujung pandang,TK,adolescent,LK,R2,-5.1356777,119.415913,5
Tuesday,Night,rajawali,mariso,TK,adolescent,LK,R2,-5.1487498,119.4096122,11
Friday,Night,dg.tata 1,tamalate,TK,child,LK,R2,-5.1793833,119.4244824,11
Thursday,Morning,landak baru 7,rappocini,TM,adult,LK,R4,-5.1673888,119.4263311,3
Thursday,Morning,boulevard,panakukang,TK,adolescent,LK,R4,-5.15694815,119.44655432802904,7
Wednesday,Morning,boulevard,panakukang,TB,adult,PR,R4,-5.15694815,119.44655432802904,9
Sunday,Night,sultan alauddin,rappocini,TK,adult,LK,R4,-5.1847014,119.4408542,3
Sunday,Night,galangan kapal,tallo,TB,adult,LK,R2,-5.1116901,119.4310929,7
Monday,Morning,sultan alauddin,rappocini,TM,adult,LK,R2,-5.1847014,119.4408542,8
Tuesday,Morning,tamangapa raya,manggala,TK,adolescent,LK,R6,-5.1767373,119.4843844,7
Monday,Morning,kumala,tamalate,TK,adult,PR,R2,-5.169866,119.4189942,8
Monday,Morning,mannuruki,tamalate,TB,NOV,PR,R4,-5.1810247,119.4279765,9
Tuesday,Night,antang raya,manggala,TB,adolescent,LK,R10,-5.1602384,119.4774127,0
Sunday,Night,ratulangi,mariso,TK,adult,PR,R4,-5.1545546,119.4162759,3
Tuesday,Afternoon,boulevard,panakukang,TM,adult,LK,R4,-5.15694815,119.44655432802904,3
Thursday,Morning,perintis kemerdekaan,tamalanrea,TK,adult,LK,R10,-5.1257155,119.5040112,8
Thursday,Night,perintis kemerdekaan,biringkanaya,TK,adult,LK,R4,-5.0934582,119.5134093,3
Friday,Night,panampu,tallo,TK,adolescent,LK,R4,-5.118319,119.4248683,7
Friday,Night,andalas,bontoala,TK,adult,LK,R4,-5.1268592,119.4185753,3
Sunday,Night,perintis kemerdekaan,tamalanrea,TL,NOV,NOV,R4,-5.1257155,119.5040112,2
Wednesday,Night,perintis kemerdekaan,tamalanrea,OC,adolescent,LK,R2,-5.1257155,119.5040112,0
Thursday,Night,btn minasa upa,rappocini,TK,adult,LK,R4,-5.1856769,119.4533275,3
Thursday,Night,sungai saddang,ujung pandang,TK,adult,PR,R4,-5.1468498,119.4249901,3
Wednesday,Night,ratulangi,mamajang,TK,adult,LK,R2,-5.1520498,119.4160523,7
Friday,Morning,perintis kemerdekaan,tamalanrea,TK,adult,LK,R2,-5.1257155,119.5040112,8
Thursday,Night,tamalate,rappocini,TL,NOV,NOV,R2,-5.1675882,119.4479146,10
Wednesday,Morning,boulevard,panakukang,TK,adult,LK,R4,-5.15694815,119.44655432802904,3
Sunday,Night,kerung-kerung,makassar,TL,NOV,NOV,R2,-5.1402144,119.4257998,10
Sunday,Night,mappanyukki,ujung pandang,TK,adolescent,PR,R4,-5.1521162,119.4147322,7
Friday,Night,veteran utara,makassar,TK,adult,LK,R6,-5.1407973,119.4239945,3
Monday,Night,balang baru 1,tamalate,TM,adult,LK,R3,-5.1813943,119.41146377951962,3
Monday,Night,toddopuli 7,manggala,TK,adolescent,LK,R2,-5.1627816,119.45762376334002,11
Monday,Night,perintis kemerdekaan,biringkanaya,TM,adolescent,LK,R2,-5.0934582,119.5134093,0
Monday,Night,veteran selatan,mamajang,TL,NOV,NOV,R2,-5.1671547,119.419923,10
Saturday,Morning,goa ria,biringkanaya,TL,NOV,NOV,R2,-5.0818045,119.5243856,4
Monday,Night,kesejahteraan selatan,tamalanrea,TK,adult,LK,R4,-5.1373086,119.5096539,3
Saturday,Night,teuku umar,tallo,TL,NOV,NOV,R2,-5.1139854,119.4352107,10
Tuesday,Morning,antang raya,manggala,OC,adult,PR,R2,-5.1602384,119.4774127,8
Monday,Night,batara bira,biringkanaya,OC,adult,PR,R2,-5.0884975,119.5063692,6
Monday,Morning,metro tanjung bunga,tamalate,TK,adolescent,LK,R4,-5.1661576,119.3917443,7
Wednesday,Morning,pongtiku,tallo,TK,adult,PR,R2,-5.1249713,119.4318432,8
Thursday,Night,perintis kemerdekaan,tamalanrea,OC,adult,PR,R2,-5.1257155,119.5040112,6
Thursday,Night,ade irma nasution,tallo,TK,adolescent,LK,R2,-5.1214728,119.4361603,11
Thursday,Night,ade irma nasution,tallo,TK,adolescent,LK,R2,-5.1214728,119.4361603,11
Friday,Night,tamalanrea raya,tamalanrea,OC,adult,LK,R2,-5.1389844,119.5193272,7
Friday,Night,cendrawasih,mariso,TL,NOV,NOV,R4,-5.1552795,119.4122605,2
Thursday,Morning,perintis kemerdekaan,biringkanaya,TK,adult,LK,R2,-5.0934582,119.5134093,8
Friday,Night,perintis kemerdekaan,tamalanrea,TL,adult,LK,R2,-5.1257155,119.5040112,6
Saturday,Night,sultan alauddin,tamalate,OC,adolescent,LK,R2,-5.1740774,119.4312419,0
Sunday,Morning,borong raya,manggala,TL,NOV,NOV,R2,-5.1637473,119.4673699,4
Monday,Night,perintis kemerdekaan,biringkanaya,OC,adolescent,LK,R2,-5.0934582,119.5134093,0
Monday,Morning,penghibur,ujung pandang,TK,adult,LK,R2,-5.1438068,119.4081433,8
Tuesday,Night,gunung latimojong,makassar,TK,adult,LK,R2,-5.1405404,119.4208275,7
Tuesday,Night,perintis kemerdekaan,biringkanaya,TL,NOV,NOV,R2,-5.0934582,119.5134093,10
Wednesday,Morning,perintis kemerdekaan,tamalanrea,TK,adult,PR,R2,-5.1257155,119.5040112,8
Wednesday,Night,hertasning,rappocini,OC,adult,PR,R2,-5.1635155,119.4381914,6
Thursday,Morning,perintis kemerdekaan,biringkanaya,TL,NOV,NOV,R2,-5.0934582,119.5134093,4
Thursday,Night,dg tata iii,tamalate,TM,adolescent,LK,R2,-5.1907525,119.4167484,0
Friday,Morning,tamangapa raya,manggala,OC,adult,PR,R2,-5.1767373,119.4843844,8
Friday,Night,serigala,mamajang,TK,adult,LK,R4,-5.1607129,119.4210329,3
Monday,Night,ir. juanda,tallo,TK,adolescent,LK,R2,-5.1214892,119.4381968,11
Sunday,Night,perintis kemerdekaan,biringkanaya,TK,adult,LK,R2,-5.0934582,119.5134093,7
Sunday,Morning,perintis kemerdekaan,biringkanaya,TK,adult,LK,R4,-5.0934582,119.5134093,3
Monday,Morning,perintis kemerdekaan,biringkanaya,TK,adult,LK,R4,-5.0934582,119.5134093,3
Monday,Night,ujung bori,manggala,TK,adult,PR,R2,-5.1644865,119.474764,7
Wednesday,Morning,lamadukelleng,ujung pandang,T,adult,PR,R2,-5.1459823,119.4109236,8
Wednesday,Night,sultan alauddin,rappocini,TL,NOV,NOV,R3,-5.1847014,119.4408542,2
Wednesday,Night,sungai saddang,makassar,TK,adult,LK,R4,-5.1468498,119.4249901,3
Wednesday,Morning,sultan hasanuddin,ujung pandang,TL,NOV,NOV,R4,-5.1452672,119.4126554,9
Saturday,Morning,veteran utara,makassar,TM,adult,LK,R4,-5.1407973,119.4239945,8
Friday,Morning,perintis kemerdekaan,biringkanaya,TK,adult,PR,R2,-5.0934582,119.5134093,8
Friday,Night,veteran utara,makassar,TK,adolescent,LK,R2,-5.1407973,119.4239945,11
Friday,Night,poros perumnas sudiang,biringkanaya,TL,NOV,NOV,R2,-5.1012568,119.5310464,10
Friday,Morning,veteran utara,bontoala,TK,adolescent,LK,R2,-5.1407973,119.4239945,5
Sunday,Night,perintis kemerdekaan,biringkanaya,OC,adult,LK,R2,-5.0934582,119.5134093,7
Sunday,Night,perintis kemerdekaan,tamalanrea,TK,adult,LK,R2,-5.1257155,119.5040112,7
Monday,Morning,nuri baru,mariso,TK,adult,LK,R2,-5.1676353,119.4072099,8
Tuesday,Night,galangan kapal,tallo,TK,adult,LK,R3,-5.1116901,119.4310929,3
Thursday,Night,bandang,bontoala,TM,adult,LK,R2,-5.1265716,119.4194415,7
Tuesday,Morning,kima raya 2,biringkanaya,OC,adult,LK,R2,-5.1054746,119.4976501,8
Thursday,Morning,perintis kemerdekaan,biringkanaya,TK,adult,NOV,R4,-5.0934582,119.5134093,3
Sunday,Night,perintis kemerdekaan,biringkanaya,OC,adult,PR,R2,-5.0934582,119.5134093,6
Sunday,Night,veteran selatan,mamajang,TK,adult,LK,R2,-5.1671547,119.419923,7
Sunday,Night,hertasning,rappocini,OC,adult,LK,R2,-5.1635155,119.4381914,7
Friday,Morning,poros perumnas sudiang,biringkanaya,TL,NOV,NOV,R2,-5.1012568,119.5310464,4
Saturday,Morning,andalas,bontoala,TL,NOV,NOV,R2,-5.1268592,119.4185753,4
Sunday,Morning,perintis kemerdekaan,biringkanaya,TK,adolescent,PR,R2,-5.0934582,119.5134093,1
Monday,Night,perintis kemerdekaan,biringkanaya,OC,adolescent,LK,R2,-5.0934582,119.5134093,0
Monday,Night,tamalanrea raya,tamalanrea,TK,adult,LK,R4,-5.1389844,119.5193272,3
Wednesday,Morning,perintis kemerdekaan,biringkanaya,TK,adolescent,PR,R2,-5.0934582,119.5134093,1
Wednesday,Night,dg.tata 1,tamalate,TL,NOV,NOV,R2,-5.1793833,119.4244824,10
Wednesday,Night,bambapuang,makassar,TM,adult,PR,R4,-5.1384574,119.4215795,3
Monday,Afternoon,gunung batu putih,makassar,TK,adult,LK,R4,-5.1469143,119.417694,3
Wednesday,Night,pandang raya,panakukang,TK,adolescent,LK,R2,-5.157086,119.447943,11
Monday,Morning,perintis kemerdekaan,tamalanrea,OC,adult,PR,R2,-5.1257155,119.5040112,8
Thursday,Morning,kumala,tamalate,TK,adult,LK,R3,-5.169866,119.4189942,8
Friday,Night,biring romang,tamalanrea,TM,adolescent,LK,R2,-5.1201558,119.5040303,0
Monday,Night,metro tanjung bunga,tamalate,TK,adult,LK,R2,-5.1661576,119.3917443,7
Saturday,Morning,borong raya,manggala,TL,NOV,NOV,R4,-5.1637473,119.4673699,9
Saturday,Night,komp. unhas,tamalanrea,OC,adolescent,PR,R2,-5.131947,119.48707,0
Friday,Morning,monginsidi,makassar,OC,adult,PR,R2,-5.1486573,119.4231372,8
Sunday,Morning,kima raya,biringkanaya,TK,adult,LK,R2,-5.1054746,119.4976501,8
Tuesday,Night,penghibur,ujung pandang,TL,NOV,NOV,R2,-5.1438068,119.4081433,10
Sunday,Night,gunung merapi,ujung pandang,OC,adult,LK,R2,-5.1442354,119.4176162,7
Sunday,Night,banta - bantaeng,rappocini,TK,adolescent,LK,R2,-5.1618312,119.427016,11
Tuesday,Morning,perintis kemerdekaan,biringkanaya,OC,adult,LK,R2,-5.0934582,119.5134093,8
Wednesday,Night,pasar ikan,ujung pandang,TL,NOV,NOV,R2,-5.1373084,119.4054099,10
Saturday,Night,emmy saelan,rappocini,TL,NOV,NOV,R2,-5.1716927,119.4425634,10
Tuesday,Night,ir. juanda,tallo,TL,NOV,NOV,R2,-5.1214892,119.4381968,10
Thursday,Night,ahmad yani,ujung pandang,TM,adolescent,LK,R2,-5.132978,119.4104834,0
Saturday,Night,veteran utara,bontoala,TL,NOV,NOV,R2,-5.1407973,119.4239945,10
Wednesday,Morning,veteran utara,makassar,TK,adult,LK,R2,-5.1407973,119.4239945,8
Thursday,Morning,perintis kemerdekaan,biringkanaya,TK,adult,LK,R2,-5.0934582,119.5134093,8
Thursday,Morning,perintis kemerdekaan,biringkanaya,TK,adult,LK,R6,-5.0934582,119.5134093,8
Wednesday,Morning,bandang,bontoala,TK,adolescent,LK,R2,-5.1265716,119.4194415,5
Sunday,Morning,sultan alauddin,rappocini,OC,adolescent,LK,R2,-5.1847014,119.4408542,1
Friday,Night,btn minasa upa,rappocini,TL,NOV,NOV,R2,-5.1856769,119.4533275,10
Friday,Night,perintis kemerdekaan,biringkanaya,TL,NOV,NOV,R2,-5.0934582,119.5134093,10
Sunday,Night,cendrawasih,mariso,TL,NOV,NOV,R4,-5.1552795,119.4122605,2
Monday,Night,kapasa raya,tamalanrea,TL,NOV,NOV,R4,-5.0945064,119.4925577,2
Monday,Morning,lamadukelleng,ujung pandang,TL,NOV,NOV,R4,-5.1459823,119.4109236,9
Monday,Night,pengayoman,panakukang,OC,adult,LK,R2,-5.1581728,119.44619225187714,7
Tuesday,Night,metro tanjung bunga,mariso,OC,adult,LK,R2,-5.1503551,119.4065236,7
Tuesday,Night,andi tonro,tamalate,T,adolescent,PR,R2,-5.1722153,119.4194737,0
Saturday,Morning,perintis kemerdekaan,tamalanrea,TK,adult,LK,R2,-5.1257155,119.5040112,8
Saturday,Night,rajawali,mariso,TL,NOV,NOV,R4,-5.1487498,119.4096122,2
Sunday,Morning,perintis kemerdekaan,tamalanrea,TL,NOV,NOV,R2,-5.1257155,119.5040112,4
Sunday,Night,perintis kemerdekaan,biringkanaya,TK,adult,PR,R2,-5.0934582,119.5134093,7
Friday,Morning,veteran utara,makassar,TK,adolescent,LK,R2,-5.1407973,119.4239945,5
Saturday,Night,perintis kemerdekaan,tamalanrea,OC,adolescent,LK,R2,-5.1257155,119.5040112,0
Saturday,Night,pelita raya,rappocini,TK,adult,LK,R3,-5.1496618,119.4349069,3
Monday,Night,gunung bawakaraeng,bontoala,TK,adult,LK,R2,-5.1354412,119.4177503,7
Wednesday,Morning,ahmad yani,ujung pandang,TK,adult,LK,R2,-5.132978,119.4104834,8
Thursday,Night,panampu,tallo,TK,adolescent,LK,R4,-5.118319,119.4248683,7
Friday,Night,veteran selatan,makassar,TK,adult,LK,R2,-5.1673416,119.4198624,7
Monday,Night,sultan alauddin,tamalate,TM,adult,LK,R2,-5.1740774,119.4312419,7
Wednesday,Morning,perumnas antang,manggala,TL,NOV,NOV,R2,-5.1672432,119.480345,4
Friday,Night,laccukang,bontoala,TL,NOV,NOV,R4,-5.1332217,119.4283215,2
Wednesday,Night,tamalanrea raya,tamalanrea,TL,NOV,NOV,R4,-5.1389844,119.5193272,2
Wednesday,Night,tamalanrea raya,tamalanrea,TL,NOV,NOV,R2,-5.1389844,119.5193272,10
Thursday,Night,perintis kemerdekaan,tamalanrea,TL,NOV,NOV,R4,-5.1257155,119.5040112,2
Thursday,Night,tamangapa raya,manggala,TL,NOV,NOV,R2,-5.1767373,119.4843844,10
Friday,Night,sultan hasanuddin,ujung pandang,TK,adolescent,LK,R2,-5.1452672,119.4126554,11
Thursday,Night,rajawali,mariso,TK,adult,LK,R4,-5.1487498,119.4096122,3
Friday,Night,metro tanjung bunga,tamalate,T,adult,LK,R2,-5.1661576,119.3917443,7
Saturday,Night,indah 3,tallo,T,adult,LK,R3,-5.1162133,119.4252585,3
Friday,Night,metro tanjung bunga,tamalate,TK,adult,LK,R2,-5.1661576,119.3917443,7
Saturday,Night,raya pendidikan,rappocini,OC,adult,LK,R2,-5.1706419,119.4405082,7
Sunday,Night,serigala,mamajang,OC,adolescent,LK,R2,-5.1607129,119.4210329,0
Tuesday,Night,perintis kemerdekaan,biringkanaya,TM,adolescent,PR,R2,-5.0934582,119.5134093,0
Tuesday,Morning,abu bakar lambogo,makassar,OC,adolescent,LK,R2,-5.1444266,119.4314297,1
Tuesday,Morning,emmy saelan,rappocini,TK,adolescent,PR,R2,-5.1716927,119.4425634,1
Tuesday,Night,berua raya,biringkanaya,T,adult,LK,R2,-5.1158621,119.5232925,7
Tuesday,Morning,metro tanjung bunga,ujung pandang,TL,NOV,NOV,R2,-5.1475336,119.4084278,4
Thursday,Morning,racing center,panakukang,T,adolescent,PR,R2,-5.146478,119.4475021085729,1
Friday,Morning,gunung bawakaraeng,ujung pandang,OC,adult,PR,R2,-5.1356777,119.415913,8
Sunday,Night,tamangapa raya,manggala,TK,adult,LK,R2,-5.1767373,119.4843844,7
Sunday,Morning,metro tanjung bunga,tamalate,OC,adult,PR,R2,-5.1661576,119.3917443,8
Monday,Night,aroepala,rappocini,TK,adult,LK,R2,-5.176439,119.4573487,7
Sunday,Night,gunung bawakaraeng,bontoala,OC,adult,LK,R4,-5.1354412,119.4177503,3
Tuesday,Evening,gunung bawakaraeng,bontoala,TL,NOV,NOV,R4,-5.1354412,119.4177503,2
Monday,Morning,hertasning,rappocini,TL,NOV,LK,R2,-5.1635155,119.4381914,4
Monday,Evening,urip sumoharjo,makassar,TL,adolescent,LK,R2,-5.1357297,119.4365744,0
Tuesday,Morning,paccerakkang,biringkanaya,TL,child,PR,R2,-5.1130349,119.5128407,4
Friday,Morning,perintis kemerdekaan,tamalanrea,TL,adolescent,PR,R2,-5.1257155,119.5040112,4
Thursday,Morning,arung teko,biringkanaya,OC,adolescent,LK,R2,-5.081271,119.5314578,1
Thursday,Night,teuku umar,tallo,TK,adolescent,LK,R2,-5.1139854,119.4352107,11
Thursday,Night,perintis kemerdekaan,biringkanaya,TK,adult,LK,R6,-5.0934582,119.5134093,3
Friday,Night,metro tanjung bunga,tamalate,OC,adolescent,LK,R4,-5.1661576,119.3917443,0
Thursday,Night,boulevard,panakukang,TK,adult,LK,R2,-5.15694815,119.44655432802904,7
Friday,Night,batu putih,makassar,TK,adolescent,LK,R2,-5.1468769,119.4185684,11
Friday,Night,monginsidi,makassar,TL,NOV,NOV,R2,-5.1486573,119.4231372,10
Thursday,Night,mappaodang,tamalate,TK,adolescent,LK,R2,-5.1732205,119.4158686,11
Saturday,Night,jipang raya,rappocini,TK,adolescent,LK,R2,-5.1778376,119.4504639,11
Saturday,Night,nuri baru,mariso,OC,adult,LK,R2,-5.1676353,119.4072099,7
Sunday,Morning,yusuf dg ngawing,rappocini,T,adolescent,LK,R2,-5.1659631,119.4372775,1
Sunday,Morning,baruga antang,manggala,TK,adolescent,LK,R2,-5.1596942,119.4863585,5
Monday,Night,sungai cerekang,bontoala,TL,NOV,NOV,R2,-5.1336434,119.417299,10
Monday,Night,metro tanjung bunga,tamalate,T,adolescent,PR,R2,-5.1661576,119.3917443,0
Tuesday,Night,sultan abdullah,tallo,TL,NOV,NOV,R4,-5.1037126,119.4396863,2
Thursday,Night,nuri baru,mariso,TK,adult,LK,R2,-5.1676353,119.4072099,7
Thursday,Night,sungai saddang,makassar,OC,adult,LK,R4,-5.1468498,119.4249901,3
Wednesday,Morning,aroepala,rappocini,OC,adult,LK,R2,-5.176439,119.4573487,8
Saturday,Night,inspeksi kanal,rappocini,TL,NOV,NOV,R2,-5.1546233,119.4252437,10
Saturday,Morning,sungai saddang,ujung pandang,TK,adolescent,LK,R2,-5.1468498,119.4249901,5
Thursday,Night,bulu dua,makassar,OC,adolescent,LK,R2,-5.1376482,119.4215396,0
Tuesday,Night,metro tanjung bunga,mariso,TM,adult,LK,R2,-5.1503551,119.4065236,7
Wednesday,Morning,rajawali,mariso,TK,adult,LK,R2,-5.1487498,119.4096122,8
Thursday,Morning,hertasning,rappocini,T,adolescent,LK,R2,-5.1635155,119.4381914,1
Friday,Morning,andi pangerang pettarani,rappocini,T,adult,LK,R2,-5.1565899,119.4369069,8
Sunday,Night,metro tanjung bunga,tamalate,OC,adult,LK,R2,-5.1661576,119.3917443,7
Saturday,Night,metro tanjung bunga,tamalate,OC,adult,LK,R2,-5.1661576,119.3917443,7
Sunday,Morning,gunung batu putih,makassar,TK,adult,LK,R4,-5.1469143,119.417694,3
Wednesday,Night,rajawali,mariso,TK,adolescent,LK,R2,-5.1487498,119.4096122,11
Friday,Afternoon,sanrangan,biringkanaya,TK,adult,LK,R2,-5.104958,119.5151185,7
Thursday,Morning,berua raya,biringkanaya,TM,adolescent,LK,R2,-5.1158621,119.5232925,1
Saturday,Afternoon,perintis kemerdekaan,tamalanrea,TK,adult,PR,R4,-5.1257155,119.5040112,3
Friday,Morning,sunu,tallo,TM,adult,PR,R2,-5.1247334,119.4296097,8
Sunday,Afternoon,maccini raya,makassar,TK,adult,PR,R2,-5.1380386,119.4340109,7
Tuesday,Morning,andalas,bontoala,TK,NOV,LK,R2,-5.1268592,119.4185753,1
Monday,Night,veteran selatan,mamajang,TL,NOV,NOV,R2,-5.1671547,119.419923,10
Wednesday,Afternoon,sultan alauddin,rappocini,TK,adult,LK,R4,-5.1847014,119.4408542,3
Wednesday,Morning,emmy saelan,rappocini,TK,adult,LK,R2,-5.1716927,119.4425634,8
Wednesday,Night,tupai,mamajang,TL,NOV,NOV,R2,-5.1604904,119.4202026,10
Friday,Afternoon,gatot subroto,tallo,TK,adolescent,PR,R2,-5.1182406,119.4349653,0
Friday,Morning,metro tanjung bunga,tamalate,T,adolescent,LK,R2,-5.1661576,119.3917443,1
Friday,Morning,veteran utara,bontoala,TM,adult,LK,R2,-5.1407973,119.4239945,8
Wednesday,Morning,nipa-nipa,manggala,TL,NOV,NOV,R2,-5.1624763,119.5003181,4
Friday,Night,cokonuri,rappocini,TK,adolescent,LK,R2,-5.1755757,119.4401585,11
Monday,Morning,pengayoman,panakukang,TK,adult,LK,R2,-5.1581728,119.44619225187714,8
Sunday,Morning,perintis kemerdekaan,tamalanrea,TL,NOV,NOV,R2,-5.1257155,119.5040112,4
Tuesday,Morning,kerukunan,tamalanrea,TK,adult,LK,R4,-5.1381715,119.5067775,3
Monday,Evening,bandang,bontoala,TK,adult,LK,R4,-5.1265716,119.4194415,3
Tuesday,Morning,poros perumnas sudiang,biringkanaya,TK,adult,LK,R2,-5.1012568,119.5310464,8
Tuesday,Evening,gunung merapi,ujung pandang,TK,adult,PR,R4,-5.1442354,119.4176162,3
Wednesday,Afternoon,kima raya,biringkanaya,TL,NOV,NOV,R2,-5.1054746,119.4976501,10
Wednesday,Morning,batu putih,ujung pandang,TL,NOV,NOV,R2,-5.1469143,119.417694,4
Tuesday,Afternoon,perintis kemerdekaan,biringkanaya,TK,adolescent,LK,R2,-5.0934582,119.5134093,11
Wednesday,Evening,perintis kemerdekaan,tamalanrea,TL,NOV,NOV,R2,-5.1257155,119.5040112,10
Thursday,Evening,metro tanjung bunga,tamalate,TL,NOV,NOV,R2,-5.1661576,119.3917443,10
Thursday,Afternoon,ir. juanda,tallo,TK,child,LK,R2,-5.1214892,119.4381968,7
Wednesday,Evening,kumala,tamalate,TL,NOV,NOV,R3,-5.169866,119.4189942,2
Thursday,Afternoon,veteran selatan,mamajang,TK,child,LK,R2,-5.1671547,119.419923,7
Wednesday,Morning,mappaodang,tamalate,TM,adult,PR,R2,-5.1732205,119.4158686,8
Friday,Evening,perintis kemerdekaan,tamalanrea,TL,NOV,NOV,R2,-5.1257155,119.5040112,10
Saturday,Afternoon,maccini raya,makassar,TK,adult,LK,R2,-5.1380386,119.4340109,7
Saturday,Morning,lamadukelleng,ujung pandang,TM,adolescent,LK,R2,-5.1459823,119.4109236,1
Friday,Morning,perintis kemerdekaan,tamalanrea,TL,NOV,NOV,R2,-5.1257155,119.5040112,4
Saturday,Morning,perintis kemerdekaan,biringkanaya,TK,adult,LK,R2,-5.0934582,119.5134093,8
Saturday,Afternoon,veteran utara,makassar,TL,NOV,NOV,R2,-5.1407973,119.4239945,10
Wednesday,Morning,domba,makassar,TK,child,LK,R2,-5.1502899,119.4217149,1
Thursday,Morning,sultan alauddin,rappocini,TL,NOV,NOV,R4,-5.1847014,119.4408542,9
Thursday,Evening,gunung bawakaraeng,makassar,TK,adolescent,PR,R2,-5.1356777,119.415913,0
Thursday,Evening,poros laikang,biringkanaya,TM,adolescent,LK,R2,-5.1012568,119.5310464,0
Saturday,Morning,sultan alauddin,tamalate,TB,adult,LK,R2,-5.1740774,119.4312419,8
Friday,Afternoon,kima raya 3,biringkanaya,TK,adolescent,LK,R2,-5.1128454,119.509013,11
Friday,Evening,goa ria,biringkanaya,TK,adolescent,PR,R2,-5.0818045,119.5243856,0
Friday,Afternoon,goa ria,biringkanaya,TL,NOV,NOV,R2,-5.0818045,119.5243856,10
Saturday,Afternoon,pengayoman,panakukang,TK,adult,LK,R4,-5.1581728,119.44619225187714,3
Thursday,Night,rajawali,mariso,TK,adult,LK,R3,-5.1487498,119.4096122,3
