day,time,address,district,accident_type,age,gender,suspect_vehicle,lat,long,Cluster
Tuesday,Evening,galangan kapal,tallo,TK,adult,LK,R14,-5.1116901,119.4310929,7
Tuesday,Night,teuku umar,tallo,TK,adolescent,LK,R2,-5.1139854,119.4352107,11
Wednesday,Evening,tamalate 1,rappocini,TK,adolescent,LK,R2,-5.1675882,119.4479146,11
Saturday,Morning,rajawali,mariso,TM,adolescent,LK,R3,-5.1487498,119.4096122,1
Thursday,Evening,sungai saddang baru,makassar,TK,adolescent,LK,R2,-5.1465627,119.4278086,11
Monday,Night,ratulangi,mamajang,OC,adult,LK,R2,-5.1520498,119.4160523,7
Saturday,Morning,tamangapa raya,manggala,TK,adult,LK,R2,-5.1767373,119.4843844,8
Monday,Night,baji minasa,mariso,TK,adolescent,LK,R2,-5.1657427,119.4097701,11
Thursday,Afternoon,gunung latimojong,makassar,TM,adult,LK,R4,-5.1405404,119.4208275,3
Wednesday,Night,tamalanrea raya,tamalanrea,TK,adult,LK,R2,-5.1389844,119.5193272,7
Thursday,Night,perintis kemerdekaan,tamalanrea,TL,NOV,NOV,R2,-5.1257155,119.5040112,10
Monday,Night,gontang raya,tamalate,TL,NOV,NOV,R6,-5.1844917,119.4082191,2
Friday,Night,tupai,mamajang,TM,adolescent,PR,R2,-5.1604904,119.4202026,0
Friday,Night,paccerakkang,biringkanaya,TL,NOV,NOV,R2,-5.1130349,119.5128407,10
Friday,Night,bulogading,ujung pandang,TB,adolescent,LK,R4,-5.1367858,119.4070415,0
Thursday,Night,metro tanjung bunga,mariso,TL,NOV,NOV,R2,-5.1503551,119.4065236,10
Sunday,Morning,perintis kemerdekaan,tamalanrea,TL,NOV,NOV,R4,-5.1257155,119.5040112,9
Saturday,Morning,kumala,tamalate,TM,adult,LK,R2,-5.169866,119.4189942,8
Saturday,Night,mapala,rappocini,TL,NOV,NOV,R4,-5.1688842,119.4391711,2
Friday,Night,veteran selatan,mamajang,TL,NOV,NOV,R2,-5.1671547,119.419923,10
Friday,Night,kumala,tamalate,TK,adult,PR,R4,-5.169866,119.4189942,3
