NO,HARI,TGL,JAM,JALAN,KECAMATAN,JENIS KECELAKAAN,UMUR,JENIS KELAMIN,KENDARAAN TERSANGKA
2265,Wednesday,6/19/2019,17:30, Domba,Makassar,TK,child,LK,R2
2266,Tuesday,6/18/2019,21:00,Urip Sumuharjo,Panakkukang,TL,NOV,LK,R2
2267,Wednesday,6/19/2019,10:00, Tol Reformasi,Tallo,OC,adult,LK,R4
2268,Saturday,6/15/2019,21:30, Abdullah Daeng Sirua,Panakkukang,TK,adolescent,LK,R2
2269,Wednesday,6/19/2019,0:30,Urip Sumuharjo,Panakkukang,TK,adolescent,LK,R2
2270,Thursday,6/20/2019,7:55,Urip Sumuharjo,Panakkukang,TK,adolescent,LK,R2
2271,Thursday,6/20/2019,16:10, Sultan Alauddin,Rappocini,TL,NOV,LK,R4
2272,Wednesday,6/19/2019,21:20, Raya Kampus Unhas,Tamalanrea,TL,NOV,LK,R2
2273,Thursday,6/20/2019,14:45, Gunung Bawakaraeng,Makassar,TK,adolescent,LK,R2
2274,Wednesday,6/19/2019,22:00, Insinyur Sutami,Tamalanrea,TK,adult,LK,R2
2275,Friday,6/21/2019,8:00, Laikang,Biringkanaya,TM,adolescent,LK,R2
2276,Saturday,6/22/2019,12:30, Sultan Alauddin,Tamalate,TK,adult,LK,R2
2277,Friday,6/21/2019,20:00, Kima III,Biringkanaya,TK,adolescent,NOV,R2
2278,Friday,6/21/2019,12:05, Goa Ria,Biringkanaya,TK,adolescent,LK,R2
2279,Friday,6/21/2019,13:30, Goa Ria,Biringkanaya,TL,NOV,LK,R2
2280,Saturday,6/22/2019,10:00, Pengayoman,Panakkukang,TK,adult,LK,R4
2281,Saturday,6/22/2019,0:30, Mesjid Raya,Bontoala,TK,adult,NOV,R2
2282,Thursday,6/20/2019,7:00, Rajawali,Mariso,TK,adult,LK,R2
2283,Friday,6/21/2019,17:00, Perjanjian Bungaya,Tamalate,TK,adolescent,NOV,R2
2284,Friday,6/21/2019,21:00, Perintis Kemerdekaan,Tamalanrea,TL,NOV,LK,R6
2285,Sunday,6/23/2019,7:30, Kumala,Tamalate,TL,NOV,NOV,R2
2286,Sunday,6/23/2019,10:00, Perintis Kemerdekaan,Tamalanrea,TL,NOV,LK,R2
2287,Sunday,6/23/2019,17:30, Perintis Kemerdekaan,Tamalanrea,OC,adult,PR,R2
2288,Monday,6/24/2019,7:45,Insinyur Sutami IV,Tamalanrea,OC,adult,PR,R4
2289,Tuesday,6/25/2019,8:30, Mesjid Raya,Bontoala,TK,adult,NOV,R2
2290,Tuesday,6/25/2019,15:25, Perintis Kemerdekaan,Tamalanrea,TK,adolescent,NOV,R4
2291,Tuesday,6/25/2019,11:00, Tamalanrea Raya,Tamalanrea,TL,NOV,LK,R4
2292,Friday,6/21/2019,20:30, Veteran Utara,Bontoala,TK,adult,NOV,R2
2293,Sunday,6/23/2019,11:00, Haji Bau,Mariso,TK,adolescent,NOV,R2
2294,Wednesday,6/26/2019,14:25, Sam Ratulangi,Mamajang,TL,NOV,NOV,R2
2295,Wednesday,6/26/2019,9:30,Poros Tamalanrea Indah,Tamalanrea,TK,adolescent,NOV,R2
2296,Wednesday,6/26/2019,13:15, Gontang Raya,Tamalate,TK,adolescent,LK,R2
2297,Wednesday,6/26/2019,10:15, Sudirman,Ujung Pandang,TK,adult,LK,R2
2298,Thursday,6/27/2019,5:30,Dokter Leimena,Panakkukang,TL,NOV,LK,R4
2299,Thursday,6/27/2019,9:00, Insinyur Sutami,Biringkanaya,TL,NOV,LK,R2
2300,Monday,6/24/2019,13:00, Kumala II,Tamalate,TM,adult,LK,R2
2301,Thursday,6/27/2019,16:20, Perintis Kemerdekaan,Biringkanaya,TK,adolescent,PR,R4
