day,time,address,district,accident_type,age,gender,suspect_vehicle,lat,long
Saturday,Morning,rajawali,mariso,TM,adolescent,LK,R3,-5.1538312,119.4108745
Thursday,Evening,sungai saddang baru,makassar,TK,adolescent,LK,R2,-5.1489226,119.4312157
Monday,Night,ratulangi,mamajang,OC,adult,LK,R2,-5.1670755,119.4198124
Saturday,Morning,tamangapa raya,manggala,TK,adult,LK,R2,-5.1767373,119.4843844
Monday,Night,baji minasa,mariso,TK,adolescent,LK,R2,-5.1657427,119.4097701
Thursday,Afternoon,gunung latimojong,makassar,TM,adult,LK,R4,-5.1405404,119.4208275
Wednesday,Night,tamalanrea raya,tamalanrea,TK,adult,LK,R2,-5.1377395,119.5159278
Thursday,Night,perintis kemerdekaan,tamalanrea,TL,NOV,NOV,R2,-5.1257155,119.5040112
Monday,Night,gontang raya,tamalate,TL,NOV,NOV,R6,-5.1847742,119.4080313
Friday,Night,tupai,mamajang,TM,adolescent,PR,R2,-5.1604904,119.4202026
Friday,Night,paccerakkang,biringkanaya,TL,NOV,NOV,R2,-5.1130349,119.5128407
Friday,Night,bulogading,ujung pandang,TB,adolescent,LK,R4,-5.137357850000001,119.4073225558687
Thursday,Night,metro tanjung bunga,mariso,TL,NOV,NOV,R2,-5.1544437,119.4041691
Sunday,Morning,perintis kemerdekaan,tamalanrea,TL,NOV,NOV,R4,-5.1257155,119.5040112
Saturday,Morning,kumala,tamalate,TM,adult,LK,R2,-5.1751691,119.4167077
Saturday,Night,mapala,rappocini,TL,NOV,NOV,R4,-5.1696055,119.437864
Friday,Night,veteran selatan,mamajang,TL,NOV,NOV,R2,-5.1671547,119.419923
Friday,Night,kumala,tamalate,TK,adult,PR,R4,-5.1751691,119.4167077
Sunday,Night,perintis kemerdekaan,tamalanrea,TK,adolescent,LK,R4,-5.1257155,119.5040112
Friday,Morning,kemauan v makassar,makassar,TM,adolescent,LK,R2,-5.1399353,119.4322832
Monday,Night,ratulangi,mariso,TK,adult,PR,R4,-5.161255,119.4173574
Thursday,Night,perintis kemerdekaan,biringkanaya,TM,adult,PR,R2,-5.0876472,119.5188217
Monday,Night,monginsidi,ujung pandang,TK,adult,LK,R4,-5.1479402,119.4186723
Sunday,Morning,andi pangerang pettarani,rappocini,TK,adult,LK,R2,-5.1565899,119.4369069
Tuesday,Night,veteran selatan,makassar,TM,adolescent,LK,R2,-5.1673416,119.4198624
Sunday,Night,sultan alauddin,rappocini,TL,NOV,NOV,R6,-5.1847014,119.4408542
Monday,Night,aroepala,rappocini,TL,NOV,NOV,R4,-5.1748451,119.4557027
Tuesday,Morning,andi pangerang pettarani,rappocini,TK,adolescent,LK,R2,-5.1565899,119.4369069
Monday,Night,perintis kemerdekaan,tamalanrea,TK,adolescent,LK,R2,-5.1257155,119.5040112
Monday,Night,perintis kemerdekaan,biringkanaya,TK,adult,LK,R2,-5.0876472,119.5188217
Wednesday,Night,perintis kemerdekaan,tamalanrea,TL,NOV,NOV,R4,-5.1257155,119.5040112
Wednesday,Morning,boulevard,panakukang,TK,adult,LK,R6,-5.157779400000001,119.44617103479291
Monday,Night,sultan alauddin,tamalate,TK,adult,LK,R2,-5.1682127,119.4209944
Thursday,Night,baji gau,mamajang,TL,NOV,NOV,R4,-5.1709153,119.4137925
Thursday,Morning,sunu,tallo,TK,adult,LK,R2,-5.1247334,119.4296097
Friday,Night,yusuf dg ngawing,rappocini,TL,NOV,NOV,R2,-5.166173,119.4378724
Friday,Night,metro tanjung bunga,mariso,TM,adolescent,LK,R4,-5.1544437,119.4041691
Friday,Night,rappocini raya,rappocini,TK,adult,LK,R2,-5.1525914,119.4258648
Friday,Night,perintis kemerdekaan,biringkanaya,TK,adult,LK,R2,-5.0876472,119.5188217
Friday,Night,perintis kemerdekaan,tamalanrea,TK,adult,PR,R2,-5.1257155,119.5040112
Friday,Night,sunu,bontoala,TK,adult,LK,R4,-5.13207,119.427103
Thursday,Afternoon,panampu,tallo,TK,adult,LK,R2,-5.1143265,119.4269747
Friday,Morning,abu bakar lambogo,makassar,TL,NOV,NOV,R2,-5.1427283,119.4336437
Saturday,Night,perintis kemerdekaan,tamalanrea,TK,adolescent,LK,R2,-5.1257155,119.5040112
Sunday,Morning,perintis kemerdekaan,biringkanaya,TK,adult,LK,R2,-5.0876472,119.5188217
Saturday,Night,gunung bawakaraeng,bontoala,TL,NOV,NOV,R2,-5.1349865,119.425356
Monday,Morning,berua raya,biringkanaya,TM,adult,LK,R4,-5.1158621,119.5232925
Tuesday,Morning,mappanyukki,mariso,TL,NOV,NOV,R2,-5.1521162,119.4147322
Wednesday,Morning,tamalanrea raya,tamalanrea,TK,adult,LK,R4,-5.1377395,119.5159278
Thursday,Night,perintis kemerdekaan,biringkanaya,TM,adult,LK,R2,-5.0876472,119.5188217
Wednesday,Morning,taman sudiang,biringkanaya,TL,NOV,NOV,R2,-5.0923368,119.5301508
Sunday,Morning,bandang,bontoala,TM,adult,LK,R2,-5.1329092,119.4213666
Saturday,Morning,perintis kemerdekaan,biringkanaya,TK,adult,LK,R2,-5.0876472,119.5188217
